"sku","product_name","color_variant","size_variant","unit_price","page"
19976,"Top sin costuras","Azul Oscuro","S",46990,4
19984,"Top sin costuras","Azul Oscuro","M",46990,4
20016,"Top sin costuras","Azul Oscuro","L",46990,4
19901,"Top sin costuras","Verde Medio","S",46990,4
19919,"Top sin costuras","Verde Medio","M",46990,4
19927,"Top sin costuras","Verde Medio","L",46990,4
19935,"Top sin costuras","Vinotinto","ÚNICO",46990,4
19943,"Top sin costuras","Vinotinto","ÚNICO",46990,4
20024,"Top sin costuras","Azul Oscuro","S",46990,4
20032,"Top sin costuras","Azul Oscuro","M",46990,4
20040,"Top sin costuras","Azul Oscuro","L",46990,4
20057,"Top sin costuras","Azul Oscuro","XL",46990,4
20065,"Top sin costuras","Verde Medio","S",46990,4
20073,"Top sin costuras","Verde Medio","M",46990,4
20081,"Top sin costuras","Verde Medio","L",46990,4
20099,"Top sin costuras","Verde Medio","XL",46990,4
20107,"Top sin costuras","Vinotinto","S",46990,4
20115,"Top sin costuras","Vinotinto","M",46990,4
20123,"Top sin costuras","Vinotinto","L",46990,4
20131,"Top sin costuras","Vinotinto","XL",46990,4
51417,"Bustier Sexy Support","Perla","34",109990,5
7617,"Bustier Sexy Support","Perla","36",109990,5
7658,"Bustier Sexy Support","Perla","38",109990,5
6981,"Bustier Sexy Support","Negro","34",109990,5
7625,"Bustier Sexy Support","Negro","36",109990,5
7666,"Bustier Sexy Support","Negro","38",109990,5
6999,"Bustier Sexy Support","Habano","34",109990,5
7633,"Bustier Sexy Support","Habano","36",109990,5
7674,"Bustier Sexy Support","Habano","38",109990,5
6627,"Bustier Sexy Support","Verde Gris","ÚNICO",109990,5
6635,"Bustier Sexy Support","Verde Gris","ÚNICO",109990,5
20677,"Memory Bra","Blanco","32",99990,7
20701,"Memory Bra","Blanco","34",99990,7
20735,"Memory Bra","Blanco","36",99990,7
20719,"Memory Bra","Negro","ÚNICO",99990,7
20743,"Memory Bra","Negro","ÚNICO",99990,7
20693,"Memory Bra","Habano","32",99990,7
20727,"Memory Bra","Habano","34",99990,7
20750,"Memory Bra","Habano","36",99990,7
4408,"Memory Bra","Azul Gris","32",99990,7
4416,"Memory Bra","Azul Gris","34",99990,7
4432,"Memory Bra","Azul Gris","36",99990,7
4440,"Memory Bra","Vino Medio","ÚNICO",99990,7
4481,"Memory Bra","Vino Medio","ÚNICO",99990,7
7690,"Memory Bra","Blanco","34",99990,7
7724,"Memory Bra","Blanco","36",99990,7
7757,"Memory Bra","Blanco","38",99990,7
7781,"Memory Bra","Blanco","40",99990,7
7708,"Memory Bra","Negro","34",99990,7
7732,"Memory Bra","Negro","36",99990,7
7765,"Memory Bra","Negro","38",99990,7
7799,"Memory Bra","Negro","40",99990,7
7716,"Memory Bra","Habano","34",99990,7
7740,"Memory Bra","Habano","36",99990,7
7773,"Memory Bra","Habano","38",99990,7
7807,"Memory Bra","Habano","40",99990,7
1313,"Memory Bra","Estampado Hojas","ÚNICO",99990,7
1321,"Memory Bra","Estampado Hojas","ÚNICO",99990,7
1339,"Memory Bra","Estampado Hojas","ÚNICO",99990,7
22491,"Brastop","Blanco","34",119990,8
22525,"Brastop","Blanco","36",119990,8
22558,"Brastop","Blanco","38",119990,8
22509,"Brastop","Negro","34",119990,8
22533,"Brastop","Negro","36",119990,8
22566,"Brastop","Negro","38",119990,8
22517,"Brastop","Habano","34",119990,8
22541,"Brastop","Habano","36",119990,8
22574,"Brastop","Habano","38",119990,8
4762,"Brastop","Vino Medio","34",119990,8
4770,"Brastop","Vino Medio","36",119990,8
4788,"Brastop","Vino Medio","38",119990,8
22640,"Brastop","Blanco","36",119990,8
22673,"Brastop","Blanco","38",119990,8
22707,"Brastop","Blanco","40",119990,8
22657,"Brastop","Negro","36",119990,8
22681,"Brastop","Negro","38",119990,8
22715,"Brastop","Negro","40",119990,8
22665,"Brastop","Habano","ÚNICO",119990,8
22699,"Brastop","Habano","ÚNICO",119990,8
4796,"Brastop","Vino Medio","ÚNICO",119990,8
4804,"Brastop","Vino Medio","ÚNICO",119990,8
14845,"Brastop","Perla","34",119990,8
14852,"Brastop","Perla","36",119990,8
14860,"Brastop","Perla","38",119990,8
14878,"Brastop","Perla","40",119990,8
14894,"Brastop","Negro","ÚNICO",119990,8
14902,"Brastop","Negro","ÚNICO",119990,8
14928,"Brastop","Negro","ÚNICO",119990,8
15347,"Brastop","Habano","34",119990,8
15362,"Brastop","Habano","36",119990,8
15388,"Brastop","Habano","38",119990,8
15800,"Brastop","Habano","40",119990,8
6908,"Brastop","Verde Gris","ÚNICO",119990,8
6916,"Brastop","Verde Gris","ÚNICO",119990,8
6924,"Brastop","Verde Gris","ÚNICO",119990,8
21261,"Cover Bra","Blanco","34",119990,9
21295,"Cover Bra","Blanco","36",119990,9
21329,"Cover Bra","Blanco","38",119990,9
21279,"Cover Bra","Negro","34",119990,9
21303,"Cover Bra","Negro","36",119990,9
21337,"Cover Bra","Negro","38",119990,9
21287,"Cover Bra","Habano","34",119990,9
21311,"Cover Bra","Habano","36",119990,9
21345,"Cover Bra","Habano","38",119990,9
4572,"Cover Bra","Estampado Hojas","34",119990,9
4580,"Cover Bra","Estampado Hojas","36",119990,9
4598,"Cover Bra","Estampado Hojas","38",119990,9
18564,"Cover Bra","Blanco","36",119990,9
18598,"Cover Bra","Blanco","38",119990,9
18622,"Cover Bra","Blanco","40",119990,9
18572,"Cover Bra","Negro","36",119990,9
18606,"Cover Bra","Negro","38",119990,9
18630,"Cover Bra","Negro","40",119990,9
18580,"Cover Bra","Habano","36",119990,9
18614,"Cover Bra","Habano","38",119990,9
18648,"Cover Bra","Habano","40",119990,9
3772,"Cover Bra","Estampado Hojas","ÚNICO",119990,9
3780,"Cover Bra","Estampado Hojas","ÚNICO",119990,9
8540,"Bra Multifunctional","Blanco","34",92990,10
8573,"Bra Multifunctional","Blanco","36",92990,10
8607,"Bra Multifunctional","Blanco","38",92990,10
88724,"Bra Multifunctional","Blanco","40",92990,10
8557,"Bra Multifunctional","Negro","34",92990,10
8581,"Bra Multifunctional","Negro","36",92990,10
8615,"Bra Multifunctional","Negro","38",92990,10
88732,"Bra Multifunctional","Negro","40",92990,10
8565,"Bra Multifunctional","Habano","34",92990,10
8599,"Bra Multifunctional","Habano","36",92990,10
8623,"Bra Multifunctional","Habano","38",92990,10
88740,"Bra Multifunctional","Habano","40",92990,10
1503,"Bra Multifunctional","Vino Medio","34",92990,10
1511,"Bra Multifunctional","Vino Medio","36",92990,10
1529,"Bra Multifunctional","Vino Medio","38",92990,10
1537,"Bra Multifunctional","Vino Medio","40",92990,10
16337,"Bra Multifunctional","Blanco","ÚNICO",92990,10
16428,"Bra Multifunctional","Blanco","ÚNICO",92990,10
16444,"Bra Multifunctional","Blanco","ÚNICO",92990,10
16469,"Bra Multifunctional","Negro","ÚNICO",92990,10
16477,"Bra Multifunctional","Negro","ÚNICO",92990,10
16485,"Bra Multifunctional","Negro","ÚNICO",92990,10
16329,"Bra Multifunctional","Habano","34",92990,10
16345,"Bra Multifunctional","Habano","36",92990,10
16436,"Bra Multifunctional","Habano","38",92990,10
16451,"Bra Multifunctional","Habano","40",92990,10
1354,"Bra Multifunctional","Vino Medio","ÚNICO",92990,10
1362,"Bra Multifunctional","Vino Medio","ÚNICO",92990,10
1370,"Bra Multifunctional","Vino Medio","ÚNICO",92990,10
41541,"Panty hípster","Perla","ÚNICO",37990,11
41582,"Panty hípster","Perla","ÚNICO",37990,11
41624,"Panty hípster","Perla","ÚNICO",37990,11
41558,"Panty hípster","Negro","S",37990,11
41590,"Panty hípster","Negro","M",37990,11
41632,"Panty hípster","Negro","L",37990,11
23796,"Panty hípster","Negro","XL",37990,11
41566,"Panty hípster","Habano","S",37990,11
41608,"Panty hípster","Habano","M",37990,11
41640,"Panty hípster","Habano","L",37990,11
30403,"Panty hípster","Habano","XL",37990,11
27979,"Panty hípster","Café Medio","ÚNICO",37990,11
